Lon,Lat,D (m)
-111.903,40.41,1.53834
-111.857,40.41,1.97292
-111.811,40.41,2.31476
-111.994,40.445,1.09426
-111.949,40.445,1.4196
-111.903,40.445,2.06374
-111.857,40.445,2.8358
-111.811,40.445,3.06787
-111.765,40.445,3.67936
-111.994,40.48,1.16271
-111.949,40.48,1.6001
-111.903,40.48,2.5183
-111.857,40.48,3.97709
-111.811,40.48,5.09092
-111.765,40.48,3.92772
-111.994,40.516,1.1818
-111.949,40.516,1.6379
-111.903,40.516,2.59681
-111.857,40.516,4.88185
-111.811,40.516,4.49258
-111.765,40.516,3.14127
-111.719,40.516,2.20458
-111.994,40.551,1.12445
-111.949,40.551,1.46415
-111.903,40.551,2.42654
-111.857,40.551,3.17994
-111.811,40.551,5.06943
-111.765,40.551,3.18614
-111.719,40.551,2.0718
-111.994,40.586,1.03313
-111.949,40.586,1.25719
-111.903,40.586,1.64999
-111.857,40.586,2.44677
-111.811,40.586,4.54226
-111.765,40.586,3.25887
-111.719,40.586,1.92571
-112.04,40.622,0.88928
-111.994,40.622,1.0622
-111.949,40.622,1.31577
-111.903,40.622,1.67817
-111.857,40.622,2.31509
-111.811,40.622,4.52378
-111.765,40.622,3.17881
-111.719,40.622,1.71708
-112.04,40.657,0.9454
-111.994,40.657,1.17778
-111.949,40.657,2.01859
-111.903,40.657,2.33236
-111.857,40.657,3.09261
-111.811,40.657,4.71691
-111.765,40.657,2.18483
-111.719,40.657,1.31804
-112.04,40.692,1.01543
-111.994,40.692,1.3093
-111.949,40.692,2.75317
-111.903,40.692,2.53045
-111.857,40.692,4.70371
-111.811,40.692,3.01638
-111.765,40.692,2.02142
-112.086,40.728,1.02683
-112.04,40.728,1.11795
-111.994,40.728,1.51385
-111.949,40.728,3.15424
-111.903,40.728,2.69457
-111.857,40.728,4.64593
-111.811,40.728,2.15508
-111.765,40.728,1.35699
-112.086,40.763,1.10646
-112.04,40.763,1.22315
-111.994,40.763,1.67786
-111.949,40.763,3.41982
-111.903,40.763,4.62763
-111.857,40.763,4.63022
-111.811,40.763,2.17257
-112.132,40.798,1.40563
-112.086,40.798,1.20056
-112.04,40.798,1.37571
-111.994,40.798,2.104
-111.949,40.798,3.75268
-111.903,40.798,4.90217
-111.857,40.798,2.97118
-111.811,40.798,2.02669
-112.086,40.834,1.41109
-112.04,40.834,1.44045
-111.994,40.834,2.20276
-111.949,40.834,3.52812
-111.903,40.834,5.66441
-111.857,40.834,3.7013
-111.811,40.834,2.40742
-111.765,40.834,1.469
-110.894,40.834,0.77494
-110.848,40.834,1.15346
-112.407,40.869,0.73558
-112.361,40.869,0.9441
-112.315,40.869,1.31557
-112.269,40.869,2.33479
-112.086,40.869,1.17691
-112.04,40.869,1.41131
-111.994,40.869,2.08965
-111.949,40.869,3.17709
-111.903,40.869,4.7046
