Longitude,Latitude,DET_ana_Type,***Performance_Based***,PB_amax,PB_Mw,PB_FSliq_Cetin,PB_FSliq_IandB,PB_FSliq_Juang,PB_Nreq_Cetin,PB_Nreq_IandB,PB_Nreq_Juang,PB_ana_Type,PB_Return_P.,PB_CSR%
-109.642384,36.858585,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.081841,36.858585,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.642384,37.31172,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.081841,37.31172,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.642384,37.764854,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.081841,37.764854,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.642384,38.217989,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-112.226119,36.768117,Mean,***|,N/A,N/A,2.43,2.651,N/A,5.562,1.847,N/A,N/A,1033,7.893
-111.890599,36.768117,Mean,***|,N/A,N/A,2.647,2.814,N/A,4.381,1,N/A,N/A,1033,7.434
-111.555078,36.768117,Mean,***|,N/A,N/A,2.88,2.814,N/A,3.216,1,N/A,N/A,1033,7.434
-111.219558,36.768117,Mean,***|,N/A,N/A,3.176,2.814,N/A,1.865,1,N/A,N/A,1033,7.434
-110.884037,36.768117,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-110.548517,36.768117,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-110.212996,36.768117,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
