Longitude,Latitude,PB_Nreq_Cetin,PB_CSR%
-109.642384,36.858585,1,7.434
-109.081841,36.858585,1,7.434
-109.642384,37.31172,1,7.434
-109.081841,37.31172,1,7.434
-109.642384,37.764854,1,7.434
-109.081841,37.764854,1,7.434
-109.642384,38.217989,1,7.434
-112.226119,36.768117,1,7.434
-111.890599,36.768117,1,7.434
-111.555078,36.768117,1,7.434
-111.219558,36.768117,1,7.434
-110.884037,36.768117,1,7.434
-110.548517,36.768117,1,7.434
-110.212996,36.768117,1,7.434
-112.226119,37.040314,1,7.434
-111.890599,37.040314,1,7.434
-111.555078,37.040314,1,7.434
-111.219558,37.040314,1,7.434
-110.884037,37.040314,1,7.434
-110.548517,37.040314,1,7.434
-110.212996,37.040314,1,7.434
-112.226119,37.312512,2.054,7.434
-111.890599,37.312512,1,7.434
-111.555078,37.312512,1,7.434
-111.219558,37.312512,1,7.434
-110.884037,37.312512,1,7.434
-110.548517,37.312512,1,7.434
-110.212996,37.312512,1,7.434
-111.890599,37.58471,2.029,7.434
-111.555078,37.58471,1,7.434
-111.219558,37.58471,1,7.434
-110.884037,37.58471,1,7.434
-110.548517,37.58471,1,7.434
-110.212996,37.58471,1,7.434
-113.903721,37.856908,1.905,7.434
-111.219558,37.856908,1,7.434
-110.884037,37.856908,1,7.434
-110.548517,37.856908,1,7.434
-110.212996,37.856908,1,7.434
-114.239242,38.129106,1,7.434
-113.903721,38.129106,1,7.434
-113.568201,38.129106,2.297,7.434
-110.884037,38.129106,1,7.434
-110.548517,38.129106,1,7.434
-110.212996,38.129106,1,7.434
-109.206435,38.129106,1,7.434
-108.870914,38.129106,1,7.434
-114.239242,38.401304,1,7.434
-113.903721,38.401304,1,7.434
-113.568201,38.401304,1,7.434
-110.884037,38.401304,1,7.434
-110.548517,38.401304,1,7.434
-110.212996,38.401304,1,7.434
-109.877,38.401,1,7.434
-109.542,38.401,1,7.434
-109.206,38.401,1,7.434
-108.871,38.401,1,7.434
-114.239,38.674,1,7.434
-113.904,38.674,1,7.434
-113.568,38.674,1,7.434
-113.233,38.674,1.66,7.434
-110.549,38.674,1,7.434
-110.213,38.674,1,7.434
-109.877,38.674,1,7.434
-109.542,38.674,1,7.434
-109.206,38.674,1,7.434
-108.871,38.674,1,7.434
-114.239,38.946,1,7.434
-113.904,38.946,1,7.434
-113.568,38.946,1,7.434
-113.233,38.946,1,7.434
-110.213,38.946,1,7.434
-109.877,38.946,1,7.434
-109.542,38.946,1,7.434
-109.206,38.946,1,7.434
-108.871,38.946,1,7.434
-114.239,39.218,1,7.434
-113.904,39.218,1,7.434
