Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.403,38.523,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.370285848
-111.312,38.524,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.192761324
-111.128,38.524,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.836548398
-111.036,38.524,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.715996939
-110.944,38.524,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.592162549
-110.853,38.524,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.761,38.524,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-113.149,38.576,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.602824257
-113.057,38.578,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.729162915
-112.965,38.58,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.877843427
-112.873,38.581,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.054316472
-112.781,38.583,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.276502246
-112.69,38.584,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.472259519
-112.598,38.585,Mean,***|,N/A,1033,0.001916829,0.191682896,0,0,0.001916829,0,0.5,1.828458631
-112.877,38.725,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.860734938
-112.785,38.727,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.071428845
-112.693,38.728,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.265653398
-112.601,38.729,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.590789176
-112.509,38.731,Mean,***|,N/A,1033,0.001869875,0.186987474,0,0,0.001869875,0,0.502843604,1.859513478
-112.417,38.732,Mean,***|,N/A,1033,0.001330094,0.133009432,0,0,0.001330094,0,0.703247728,2.168726711
-112.325,38.733,Mean,***|,N/A,1033,0.002942375,0.29423754,0,0,0.002942375,0,0.750256225,2.284330385
-112.233,38.734,Mean,***|,N/A,1033,0.002423996,0.242399566,0,0,0.002423996,0,0.992089152,2.636197269
-112.141,38.735,Mean,***|,N/A,1033,0.002305549,0.23055491,0,0,0.002305549,0,1.010779002,2.65399207
-112.049,38.736,Mean,***|,N/A,1033,0.002079915,0.207991536,0,0,0.002079915,0,1.124125805,2.819429782
-111.957,38.736,Mean,***|,N/A,1033,0.002214251,0.221425142,0,0,0.002214251,0,1.067217527,2.736850322
-111.865,38.737,Mean,***|,N/A,1033,0.002200254,0.220025406,0,0,0.002200254,0,1.084672229,2.764040062
-111.773,38.738,Mean,***|,N/A,1033,0.002475274,0.247527439,0,0,0.002475274,0,0.982887696,2.633575339
-111.681,38.738,Mean,***|,N/A,1033,0.002869928,0.286992759,0,0,0.002869928,0,0.883934924,2.457070336
-111.589,38.739,Mean,***|,N/A,1033,0.001201741,0.120174082,0,0,0.001201741,0,0.779334739,2.30672686
-111.497,38.739,Mean,***|,N/A,1033,0.001597106,0.159710602,0,0,0.001597106,0,0.647519858,2.10337884
-111.405,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.504211315,1.87960077
-111.312,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.680603822
-111.22,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.443028417
-111.128,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.253992277
-111.036,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.071171693
-110.944,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.897424328
-110.852,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.737855631
-110.76,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.589729011
-110.668,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.576,38.74,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.971,38.796,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.641250591
-112.879,38.797,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.788123557
-112.787,38.799,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.955436872
-112.695,38.8,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.206558359
-112.603,38.801,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.466167909
-112.51,38.803,Mean,***|,N/A,1033,0.00181234,0.181233968,0,0,0.00181234,0,0.5,1.688128936
