Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.403,38.523,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.312,38.524,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.128,38.524,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.036,38.524,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,38.524,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.853,38.524,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.761,38.524,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-113.149,38.576,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-113.057,38.578,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.965,38.58,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.873,38.581,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.781,38.583,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.69,38.584,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.598,38.585,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.617145634
-112.785,38.727,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.693,38.728,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.601,38.729,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.531225314
-112.509,38.731,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.631022677
-112.417,38.732,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.738123722
-112.325,38.733,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.815815085
-112.233,38.734,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.911189665
-112.141,38.735,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.914644166
-112.049,38.736,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.980884306
-111.957,38.736,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.945923213
-111.865,38.737,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.955206324
-111.773,38.738,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.905227927
-111.681,38.738,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.817630708
-111.589,38.739,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.760915456
-111.497,38.739,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.682495556
-111.405,38.74,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.594446749
-111.312,38.74,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.506407853
-111.22,38.74,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.128,38.74,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
